Row,Col,RowSpan,ColSpan,Color
0,3,1,1,blue
1,7,1,1,blue
5,1,1,1,blue
7,7,1,1,blue
9,3,1,1,blue
12,3,1,1,blue
14,5,1,1,blue
17,1,1,1,blue
18,3,1,1,blue
19,7,1,1,blue
22,0,1,1,blue
22,5,1,1,blue
25,7,1,1,blue
27,3,1,1,blue
5,12,1,1,blue
9,12,1,1,blue
14,14,1,1,blue
17,12,1,1,blue
18,14,1,1,blue
25,12,1,1,blue
28,10,2,3,blue
29,14,1,1,blue
14,17,3,2,blue
22,18,1,1,blue
30,18,1,1,blue
2,21,1,1,blue
5,21,1,1,blue
15,21,1,1,blue
18,19,3,6,blue
25,19,1,6,blue
27,19,5,6,blue
7,22,2,2,blue
9,24,1,1,blue
17,24,1,1,blue
22,25,1,1,blue
26,25,1,1,blue
31,25,1,1,blue
5,27,1,1,blue
9,27,1,1,blue
22,28,1,1,blue
14,30,1,1,blue
26,30,1,1,blue
1,24,3,6,blue
30,29,2,3,blue
