Row,Col,RowSpan,ColSpan,Color
11,0,3,3,red
29,0,1,1,red
2,3,1,1,red
6,3,1,1,red
17,3,1,1,red
22,3,1,1,red
26,3,1,1,red
31,3,1,1,red
5,6,1,1,red
9,7,1,1,red
14,7,1,1,red
22,7,1,1,red
30,7,1,1,red
17,10,1,1,red
29,10,1,1,red
5,11,1,1,red
0,12,1,1,red
14,12,1,1,red
19,12,1,1,red
26,12,1,1,red
9,14,1,1,red
22,14,1,1,red
5,15,1,1,red
17,16,1,1,red
24,16,2,2,red
28,18,1,1,red
9,19,1,1,red
21,19,4,1,red
21,20,1,1,red
24,20,1,1,red
21,21,1,1,red
24,21,1,1,red
21,22,1,1,red
24,22,1,1,red
21,23,1,1,red
24,23,1,1,red
21,24,4,1,red
17,21,1,1,red
26,23,1,1,red
10,22,2,2,red
14,24,1,1,red
0,22,5,2,red
0,24,1,1,red
4,24,1,1,red
0,25,1,1,red
4,25,1,1,red
0,26,1,1,red
4,26,1,1,red
0,27,1,1,red
4,27,1,1,red
0,28,1,1,red
4,28,1,1,red
0,29,1,1,red
4,29,1,1,red
0,30,5,2,red
10,27,1,1,red
12,27,1,1,red
17,27,1,1,red
19,25,1,1,red
22,31,1,1,red
